time,lat,lng,demand
"07:00",24.994,121.448,1
"07:00",24.94,121.381,1
"07:00",25.029,121.497,1
"07:00",24.178,120.71,1
"07:00",24.136,120.713,1
"07:00",23.12,120.303,1
"07:00",23.019,120.233,1
"07:00",25.116,121.531,1
"07:00",22.662,120.307,1
"07:00",24.997,121.445,1
"07:00",24.951,121.243,1
"07:00",23.019,120.224,1
"07:00",25.063,121.614,1
"07:00",25.031,121.518,1
"07:00",22.987,120.195,1
"07:00",24.997,121.463,1
"07:00",22.725,120.289,1
"07:00",24.962,121.239,1
"07:00",25.116,121.527,1
"07:00",24.802,120.978,1
"07:00",24.142,120.666,1
"07:00",24.999,121.553,1
"07:00",25.052,121.521,1
"07:00",25.039,121.291,1
"07:00",24.958,121.42,1
"07:00",25.043,121.581,1
"07:00",25.074,121.512,1
"07:00",25.128,121.741,1
"07:00",25.121,121.508,1
"07:00",22.99,120.195,1
"07:00",22.62,120.301,1
"07:00",25.052,121.465,1
"07:00",25.095,121.712,1
"07:00",25.053,121.285,1
"07:00",24.984,121.417,1
"07:00",24.799,120.979,1
"07:00",23.074,120.257,1
"07:00",25.029,121.549,1
"07:00",25.001,121.489,1
"07:00",25.117,121.528,1
"07:00",25.074,121.495,1
"07:00",24.993,121.538,1
"07:00",25.015,121.542,1
"07:00",22.978,120.195,1
"07:00",25,121.554,1
"07:00",25.078,121.586,1
"07:00",25.083,121.389,1
"07:00",24.178,120.72,1
"07:00",25.056,121.468,1
"07:00",24.058,120.515,1
"07:00",25.081,121.596,1
"07:00",25.057,121.29,1
"07:00",25.113,121.527,1
"07:00",24.973,121.335,1
"07:00",25.074,121.479,1
"07:00",24.954,121.228,1
"07:00",25,121.524,1
"07:00",25.06,121.491,1
"07:00",24.803,120.956,1
"07:00",25.055,121.576,1
"07:00",25.137,121.788,1
"07:00",25.056,121.471,1
"07:00",25.062,121.575,1
"07:00",25.131,121.499,1
"07:00",25.038,121.525,1
"07:00",25.022,121.219,1
"07:00",24.25,120.72,1
"07:00",25.023,121.527,1
"07:00",25.058,121.614,1
"07:00",24.973,121.253,1
"07:00",24.743,121.088,1
"07:00",25.064,121.601,1
"07:00",25.095,121.4,1
"07:00",22.63,120.295,1
"07:00",25.055,121.284,1
"07:00",23.021,120.222,1
"07:00",25.052,121.362,1
"07:00",22.634,120.308,1
"07:00",25.114,121.528,1
"07:00",24.773,121.025,1
"07:00",24.81,121.038,1
"07:00",22.674,120.301,1
"07:00",24.911,121.155,1
"07:00",24.973,121.25,1
"07:00",22.649,120.295,1
"07:00",22.983,120.246,1
"07:00",25.034,121.297,1
"07:00",24.991,121.541,1
"07:00",24.156,120.685,1
"07:00",24.956,121.299,1
"07:00",24.987,121.468,1
"07:00",24.932,121.255,1
"07:00",24.932,121.25,1
"07:00",25.105,121.51,1
"07:00",25.008,121.318,1
"07:00",24.134,120.72,1
"07:00",22.728,120.301,1
"07:00",25.07,121.362,1
"07:00",25.022,121.526,1
"07:00",25.191,121.439,1
"07:00",25.136,121.747,1
"07:00",25.07,121.591,1
"07:00",25.05,121.464,1
"07:00",25.064,121.64,1
"07:00",25.042,121.29,1
"07:00",25.087,121.462,1
"07:00",22.991,120.215,1
"07:00",25.054,121.539,1
"07:00",24.945,121.38,1
"07:00",25.075,121.576,1
"07:00",25.074,121.577,1
"07:00",22.988,120.194,1
"07:00",25.139,121.501,1
"07:00",23.02,120.224,1
"07:00",25.014,121.214,1
"07:00",22.612,120.328,1
"07:00",25.031,121.561,1
"07:00",25.026,121.562,1
"07:00",24.777,121.026,1
"07:00",25.129,121.751,1
"07:00",25.136,121.494,1
"07:00",24.152,120.701,1
"07:00",24.135,120.684,1
"07:00",24.965,121.43,1
"07:00",25.124,121.747,1
"07:00",25.193,121.427,1
"07:00",25.079,121.493,1
"07:00",25.097,121.537,1
"07:00",25.122,121.469,1
"07:00",22.627,120.311,1
"07:00",25.029,121.562,1
"07:00",25.043,121.503,1
"07:00",24.997,121.492,1
"07:00",25.019,121.223,1
"07:00",24.995,121.493,1
"07:00",24.155,120.685,1
"07:00",24.81,121.036,1
"07:00",25.055,121.614,1
"07:00",25.124,121.53,1
"07:00",25.194,121.438,1
"07:00",25.049,121.553,1
"07:00",25.024,121.51,1
"07:00",25.037,121.569,1
"07:00",24.143,120.661,1
"07:00",25.128,121.749,1
"07:00",24.916,121.181,1
"07:00",25.026,121.561,1
"07:00",23.459,120.322,1
"07:00",25.008,121.46,1
"07:00",24.784,121.019,1
"07:00",24.111,120.616,1
"07:00",25.141,121.796,1
"07:00",25.042,121.504,1
"07:00",22.336,120.447,1
"07:00",24.095,120.723,1
"07:00",24.914,121.038,1
"07:00",24.958,121.236,1
"07:00",25.064,121.626,1
"07:00",25.121,121.471,1
"07:00",24.997,121.443,1
"07:00",25.048,121.536,1
"07:00",24.971,121.298,1
"07:00",25.057,121.463,1
"07:00",24.11,120.62,1
