iRent平假日,經緯度後三位,小時,想租未租筆數,kepler_time
"假日","25.083,121.593",7,1,"07:00"
"假日","23.326,120.346",7,1,"07:00"
"假日","24.966,121.218",7,1,"07:00"
"假日","23.128,120.311",7,1,"07:00"
"假日","24.987,121.297",7,1,"07:00"
"假日","22.621,120.272",7,1,"07:00"
"假日","25.019,121.469",7,1,"07:00"
"假日","25.081,121.638",7,1,"07:00"
"假日","24.917,121.210",7,1,"07:00"
"假日","25.051,121.298",7,1,"07:00"
"假日","25.002,121.512",7,1,"07:00"
"假日","25.005,121.431",7,1,"07:00"
"假日","24.956,121.219",7,1,"07:00"
"假日","25.046,121.294",7,1,"07:00"
"假日","24.911,121.147",7,1,"07:00"
"假日","24.996,121.330",7,1,"07:00"
"假日","24.801,120.997",7,1,"07:00"
"假日","25.080,121.584",7,1,"07:00"
"假日","25.054,121.554",7,1,"07:00"
"假日","25.054,121.544",7,1,"07:00"
"假日","25.045,121.389",7,1,"07:00"
"假日","25.047,121.292",7,1,"07:00"
"假日","25.039,121.551",7,1,"07:00"
"假日","25.006,121.508",7,1,"07:00"
"假日","25.197,121.427",7,1,"07:00"
"假日","25.078,121.380",7,1,"07:00"
"假日","25.071,121.520",7,1,"07:00"
"假日","25.059,121.608",7,1,"07:00"
"假日","25.109,121.532",7,1,"07:00"
"假日","25.045,121.547",7,1,"07:00"
"假日","25.058,121.541",7,1,"07:00"
"假日","25.122,121.725",7,1,"07:00"
"假日","25.056,121.365",7,1,"07:00"
"假日","25.043,121.554",7,1,"07:00"
"假日","25.043,121.294",7,1,"07:00"
"假日","25.011,121.529",7,1,"07:00"
"假日","25.072,121.375",7,1,"07:00"
"假日","22.997,120.279",7,1,"07:00"
"假日","24.968,121.246",7,1,"07:00"
"假日","24.995,121.331",7,1,"07:00"
"假日","25.105,121.535",7,1,"07:00"
"假日","24.960,121.227",7,1,"07:00"
"假日","25.115,121.470",7,1,"07:00"
"假日","24.146,120.711",7,1,"07:00"
"假日","25.047,121.562",7,1,"07:00"
"假日","23.772,120.262",7,1,"07:00"
"假日","25.040,121.385",7,1,"07:00"
"假日","25.068,121.525",7,1,"07:00"
"假日","25.053,121.368",7,1,"07:00"
"假日","24.802,120.991",7,1,"07:00"
"假日","22.929,120.285",7,1,"07:00"
"假日","25.047,121.517",7,1,"07:00"
"假日","24.833,121.267",7,1,"07:00"
"假日","24.961,121.299",7,1,"07:00"
"假日","24.955,121.227",7,1,"07:00"
"假日","25.039,121.528",7,1,"07:00"
"假日","25.110,121.532",7,1,"07:00"
"假日","24.268,120.575",7,1,"07:00"
"假日","22.700,120.296",7,1,"07:00"
"假日","23.024,120.232",7,1,"07:00"
"假日","24.148,120.708",7,1,"07:00"
"假日","24.929,121.527",7,1,"07:00"
"假日","22.614,120.301",7,1,"07:00"
"假日","23.003,120.180",7,1,"07:00"
"假日","25.058,121.295",7,1,"07:00"
"假日","25.111,121.516",7,1,"07:00"
"假日","24.122,120.683",7,1,"07:00"
"假日","25.116,121.534",7,1,"07:00"
"假日","24.994,121.448",7,1,"07:00"
"假日","24.940,121.381",7,1,"07:00"
"假日","25.029,121.497",7,1,"07:00"
"假日","24.178,120.710",7,1,"07:00"
"假日","24.136,120.713",7,1,"07:00"
"假日","23.120,120.303",7,1,"07:00"
"假日","23.019,120.233",7,1,"07:00"
"假日","25.116,121.531",7,1,"07:00"
"假日","22.662,120.307",7,1,"07:00"
"假日","24.997,121.445",7,1,"07:00"
"假日","24.951,121.243",7,1,"07:00"
"假日","23.019,120.224",7,1,"07:00"
"假日","25.063,121.614",7,1,"07:00"
"假日","25.031,121.518",7,1,"07:00"
"假日","22.987,120.195",7,1,"07:00"
"假日","24.997,121.463",7,1,"07:00"
"假日","22.725,120.289",7,1,"07:00"
"假日","24.962,121.239",7,1,"07:00"
"假日","25.116,121.527",7,1,"07:00"
"假日","24.802,120.978",7,1,"07:00"
"假日","24.142,120.666",7,1,"07:00"
"假日","24.999,121.553",7,1,"07:00"
"假日","25.052,121.521",7,1,"07:00"
"假日","25.039,121.291",7,1,"07:00"
"假日","24.958,121.420",7,1,"07:00"
"假日","25.043,121.581",7,1,"07:00"
"假日","25.074,121.512",7,1,"07:00"
"假日","25.128,121.741",7,1,"07:00"
"假日","25.121,121.508",7,1,"07:00"
"假日","22.990,120.195",7,1,"07:00"
